# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	min(porosityF)
0.1               	5.0002101236e-01
0.2               	5.0000000086e-01
0.3               	5.0000000000e-01
0.4               	5.0000000000e-01
0.5               	5.0000000000e-01
0.6               	5.0000000000e-01
0.7               	5.0000000000e-01
0.8               	5.0000000000e-01
0.9               	5.0000000000e-01
1                 	5.0000000000e-01
1.1               	5.0000000000e-01
1.2               	5.0000000000e-01
1.3               	5.0000000000e-01
1.4               	5.0000000000e-01
1.5               	5.0000000000e-01
1.6               	5.0000000000e-01
1.7               	5.0000000000e-01
1.8               	5.0000000000e-01
1.9               	0.0000000000e+00
2                 	0.0000000000e+00
2.1               	0.0000000000e+00
2.2               	0.0000000000e+00
2.3               	0.0000000000e+00
2.4               	0.0000000000e+00
2.5               	0.0000000000e+00
